character,dialogue,movie
"character ""dialogue""",,Episode IV
"1 ""THREEPIO"" ""Did you hear that?  They've shut down the main reactor.  We'll be destroyed for sure.  This is madness!""",,Episode IV
"2 ""THREEPIO"" ""We're doomed!""",,Episode IV
"3 ""THREEPIO"" ""There'll be no escape for the Princess this time.""",,Episode IV
"4 ""THREEPIO"" ""What's that?""",,Episode IV
"5 ""THREEPIO"" ""I should have known better than to trust the logic of a half-sized thermocapsulary dehousing assister...""",,Episode IV
"6 ""LUKE"" ""Hurry up!  Come with me!  What are you waiting for?!  Get in gear!""",,Episode IV
"7 ""THREEPIO"" ""Artoo! Artoo-Detoo, where are you?""",,Episode IV
"8 ""THREEPIO"" ""At last!  Where have you been?""",,Episode IV
"9 ""THREEPIO"" ""They're heading in this direction. What are we going to do?  We'll be sent to the spice mines of Kessel or smashed into who knows what!""",,Episode IV
"10 ""THREEPIO"" ""Wait a minute, where are you going?""",,Episode IV
"11 ""IMPERIAL OFFICER"" ""The Death Star plans are not in the main computer.""",,Episode IV
"12 ""VADER"" ""Where are those transmissions you intercepted?""",,Episode IV
"13 ""REBEL OFFICER"" ""We intercepted no transmissions. Aaah...  This is a consular ship. Were on a diplomatic mission.""",,Episode IV
"14 ""VADER"" ""If this is a consular ship... where is the Ambassador?""",,Episode IV
"15 ""VADER"" ""Commander, tear this ship apart until you've found those plans and bring me the Ambassador.  I want her alive!""",,Episode IV
"16 ""TROOPER"" ""There she is! Set for stun!""",,Episode IV
"17 ""TROOPER"" ""She'll be all right. Inform Lord Vader we have a prisoner.""",,Episode IV
"18 ""THREEPIO"" ""Hey, you're not permitted in there.  It's restricted. You'll be deactivated for sure..""",,Episode IV
"19 ""THREEPIO"" ""Don't call me a mindless philosopher, you overweight glob of grease!  Now come out before somebody sees you.""",,Episode IV
"20 ""THREEPIO"" ""Secret mission?  What plans?  What are you talking about?  I'm not getting in there!""",,Episode IV
"21 ""THREEPIO"" ""I'm going to regret this.""",,Episode IV
"22 ""CHIEF PILOT"" ""There goes another one.""",,Episode IV
"23 ""CAPTAIN"" ""Hold your fire.  There are no life forms.  It must have been short-circuited.""",,Episode IV
"24 ""THREEPIO"" ""That's funny, the damage doesn't look as bad from out here.""",,Episode IV
"25 ""THREEPIO"" ""Are you sure this things safe?""",,Episode IV
"26 ""WOMAN"" ""I've told you kids to slow down!""",,Episode IV
"27 ""FIXER"" ""Did I hear a young noise blast through here?""",,Episode IV
"28 ""CAMIE"" ""It was just Wormie on another rampage.""",,Episode IV
"29 ""LUKE"" ""Shape it up you guys!...  Biggs?""",,Episode IV
"30 ""LUKE"" ""I didn't know you were back!  When did you get in?""",,Episode IV
"31 ""BIGGS"" ""Just now.  I wanted to surprise you, hot shot.  I thought you'd be here... certainly didn't expect you to be out working. """,,Episode IV
"32 ""LUKE"" ""The Academy didn't change you much... but you're back so soon?  Hey, what happened, didn't you get your commission?""",,Episode IV
"33 ""BIGGS"" ""Of course I got it.  Signed aboard The Rand Ecliptic last week.  First mate Biggs Darklighter at your service...... I just came back to say goodbye to all you unfortunate landlocked simpletons.""",,Episode IV
"34 ""LUKE"" ""I almost forgot.  There's a battle going on!  Right here in our system.  Come and look!""",,Episode IV
"35 ""DEAK"" ""Not again!  Forget it.""",,Episode IV
"36 ""LUKE"" ""There they are!""",,Episode IV
"37 ""BIGGS"" ""That's no battle, hot shot... they're just sitting there!  Probably a freighter-tanker refueling.""",,Episode IV
"38 ""LUKE"" ""But there was a lot of firing earlier...""",,Episode IV
"39 ""LUKE"" ""Hey, easy with those...""",,Episode IV
"40 ""CAMIE"" ""Don't worry about it, Wormie.""",,Episode IV
"41 ""FIXER"" ""I keep telling you, the Rebellion is a long way from here.  I doubt if the Empire would even fight to keep this system.  Believe me Luke, this planet is a big hunk of nothing...""",,Episode IV
"42 ""LEIA"" ""Lord Vader, I should have known.  Only you could be so bold.  The Imperial Senate will not sit stillfor this, when they hear you've attacked a diplomatic...""",,Episode IV
"43 ""VADER"" ""Don't play games with me, Your Highness.  You weren't on any mercy mission this time.  You passed directly through a restricted system.  Several transmissions were beamed to this ship by Rebel spies.  I want to know what happened to the plans they sent you.""",,Episode IV
"44 ""LEIA"" ""I don't know what you're talking about.  I'm a member of the Imperial Senate on a diplomatic mission to Alderaan...""",,Episode IV
"45 ""VADER"" ""You're a part of the Rebel Alliance... and a traitor.  Take her away!""",,Episode IV
"46 ""COMMANDER"" ""Holding her is dangerous.  If word of this gets out, it could generate sympathy for the Rebellion in the senate.""",,Episode IV
"47 ""VADER"" ""I have traced the Rebel spies to her.  Now she is my only link to find their secret base!""",,Episode IV
"48 ""COMMANDER"" ""you anything.""",,Episode IV
"49 ""VADER"" ""Leave that to me.  Send a distress signal and then inform the senate that all aboard were killed!""",,Episode IV
"50 ""SECOND OFFICER"" ""Lord Vader, the battle station plans are not aboard this ship!  And no transmissions were made.  An escape pod was jettisoned during the fighting, but no life forms were aboard.""",,Episode IV
"51 ""VADER"" ""She must have hidden the plans in the escape pod.  Send a detachment down to retrieve them.  See to it personally, Commander.  There'll be no one to stop us this time.""",,Episode IV
"52 ""COMMANDER"" ""Yes, sir.""",,Episode IV
"53 ""THREEPIO"" ""How did I get into this mess?  I really don't know how.  We seem to be made to suffer.  It's our lot in life.""",,Episode IV
"54 ""THREEPIO"" ""I've got to rest before I fall apart.  My joints are almost frozen. """,,Episode IV
"55 ""THREEPIO"" ""What a desolate place this is.""",,Episode IV
"56 ""THREEPIO"" ""Where are you going?""",,Episode IV
