name,classification,designation,average_height,skin_colors,hair_colors,eye_colors,average_lifespan,homeworld,language,people,films,created,edited,url
Human,mammal,sentient,180,"caucasian, black, asian, hispanic","blonde, brown, black, red","brown, blue, green, hazel, grey, amber",120,https://swapi.dev/api/planets/9/,Galactic Basic,"['https://swapi.dev/api/people/66/', 'https://swapi.dev/api/people/67/', 'https://swapi.dev/api/people/68/', 'https://swapi.dev/api/people/74/']","['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",2014-12-10T13:52:11.567000Z,2014-12-20T21:36:42.136000Z,https://swapi.dev/api/species/1/
Droid,artificial,sentient,n/a,n/a,n/a,n/a,indefinite,,n/a,"['https://swapi.dev/api/people/2/', 'https://swapi.dev/api/people/3/', 'https://swapi.dev/api/people/8/', 'https://swapi.dev/api/people/23/']","['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",2014-12-10T15:16:16.259000Z,2014-12-20T21:36:42.139000Z,https://swapi.dev/api/species/2/
Wookie,mammal,sentient,210,gray,"black, brown","blue, green, yellow, brown, golden, red",400,https://swapi.dev/api/planets/14/,Shyriiwook,"['https://swapi.dev/api/people/13/', 'https://swapi.dev/api/people/80/']","['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/6/']",2014-12-10T16:44:31.486000Z,2014-12-20T21:36:42.142000Z,https://swapi.dev/api/species/3/
Rodian,sentient,reptilian,170,"green, blue",n/a,black,unknown,https://swapi.dev/api/planets/23/,Galatic Basic,['https://swapi.dev/api/people/15/'],['https://swapi.dev/api/films/1/'],2014-12-10T17:05:26.471000Z,2014-12-20T21:36:42.144000Z,https://swapi.dev/api/species/4/
Hutt,gastropod,sentient,300,"green, brown, tan",n/a,"yellow, red",1000,https://swapi.dev/api/planets/24/,Huttese,['https://swapi.dev/api/people/16/'],"['https://swapi.dev/api/films/1/', 'https://swapi.dev/api/films/3/']",2014-12-10T17:12:50.410000Z,2014-12-20T21:36:42.146000Z,https://swapi.dev/api/species/5/
Yoda's species,mammal,sentient,66,"green, yellow","brown, white","brown, green, yellow",900,https://swapi.dev/api/planets/28/,Galactic basic,['https://swapi.dev/api/people/20/'],"['https://swapi.dev/api/films/2/', 'https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",2014-12-15T12:27:22.877000Z,2014-12-20T21:36:42.148000Z,https://swapi.dev/api/species/6/
Trandoshan,reptile,sentient,200,"brown, green",none,"yellow, orange",unknown,https://swapi.dev/api/planets/29/,Dosh,['https://swapi.dev/api/people/24/'],['https://swapi.dev/api/films/2/'],2014-12-15T13:07:47.704000Z,2014-12-20T21:36:42.151000Z,https://swapi.dev/api/species/7/
Mon Calamari,amphibian,sentient,160,"red, blue, brown, magenta",none,yellow,unknown,https://swapi.dev/api/planets/31/,Mon Calamarian,['https://swapi.dev/api/people/27/'],['https://swapi.dev/api/films/3/'],2014-12-18T11:09:52.263000Z,2014-12-20T21:36:42.153000Z,https://swapi.dev/api/species/8/
Ewok,mammal,sentient,100,brown,"white, brown, black","orange, brown",unknown,https://swapi.dev/api/planets/7/,Ewokese,['https://swapi.dev/api/people/30/'],['https://swapi.dev/api/films/3/'],2014-12-18T11:22:00.285000Z,2014-12-20T21:36:42.155000Z,https://swapi.dev/api/species/9/
Sullustan,mammal,sentient,180,pale,none,black,unknown,https://swapi.dev/api/planets/33/,Sullutese,['https://swapi.dev/api/people/31/'],['https://swapi.dev/api/films/3/'],2014-12-18T11:26:20.103000Z,2014-12-20T21:36:42.157000Z,https://swapi.dev/api/species/10/
Neimodian,unknown,sentient,180,"grey, green",none,"red, pink",unknown,https://swapi.dev/api/planets/18/,Neimoidia,['https://swapi.dev/api/people/33/'],['https://swapi.dev/api/films/4/'],2014-12-19T17:07:31.319000Z,2014-12-20T21:36:42.160000Z,https://swapi.dev/api/species/11/
Gungan,amphibian,sentient,190,"brown, green",none,orange,unknown,https://swapi.dev/api/planets/8/,Gungan basic,"['https://swapi.dev/api/people/36/', 'https://swapi.dev/api/people/37/', 'https://swapi.dev/api/people/38/']","['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/']",2014-12-19T17:30:37.341000Z,2014-12-20T21:36:42.163000Z,https://swapi.dev/api/species/12/
Toydarian,mammal,sentient,120,"blue, green, grey",none,yellow,91,https://swapi.dev/api/planets/34/,Toydarian,['https://swapi.dev/api/people/40/'],"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/']",2014-12-19T17:48:56.893000Z,2014-12-20T21:36:42.165000Z,https://swapi.dev/api/species/13/
Dug,mammal,sentient,100,"brown, purple, grey, red",none,"yellow, blue",unknown,https://swapi.dev/api/planets/35/,Dugese,['https://swapi.dev/api/people/41/'],['https://swapi.dev/api/films/4/'],2014-12-19T17:53:11.214000Z,2014-12-20T21:36:42.167000Z,https://swapi.dev/api/species/14/
Twi'lek,mammals,sentient,200,"orange, yellow, blue, green, pink, purple, tan",none,"blue, brown, orange, pink",unknown,https://swapi.dev/api/planets/37/,Twi'leki,"['https://swapi.dev/api/people/45/', 'https://swapi.dev/api/people/46/']","['https://swapi.dev/api/films/3/', 'https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",2014-12-20T09:48:02.406000Z,2014-12-20T21:36:42.169000Z,https://swapi.dev/api/species/15/
Aleena,reptile,sentient,80,"blue, gray",none,unknown,79,https://swapi.dev/api/planets/38/,Aleena,['https://swapi.dev/api/people/47/'],['https://swapi.dev/api/films/4/'],2014-12-20T09:53:16.481000Z,2014-12-20T21:36:42.171000Z,https://swapi.dev/api/species/16/
Vulptereen,unknown,sentient,100,grey,none,yellow,unknown,https://swapi.dev/api/planets/39/,vulpterish,['https://swapi.dev/api/people/48/'],['https://swapi.dev/api/films/4/'],2014-12-20T09:57:33.128000Z,2014-12-20T21:36:42.173000Z,https://swapi.dev/api/species/17/
Xexto,unknown,sentient,125,"grey, yellow, purple",none,black,unknown,https://swapi.dev/api/planets/40/,Xextese,['https://swapi.dev/api/people/49/'],['https://swapi.dev/api/films/4/'],2014-12-20T10:02:13.915000Z,2014-12-20T21:36:42.175000Z,https://swapi.dev/api/species/18/
Toong,unknown,sentient,200,"grey, green, yellow",none,orange,unknown,https://swapi.dev/api/planets/41/,Tundan,['https://swapi.dev/api/people/50/'],"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/6/']",2014-12-20T10:08:36.795000Z,2014-12-20T21:36:42.177000Z,https://swapi.dev/api/species/19/
Cerean,mammal,sentient,200,pale pink,"red, blond, black, white",hazel,unknown,https://swapi.dev/api/planets/43/,Cerean,['https://swapi.dev/api/people/52/'],"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/6/']",2014-12-20T10:15:33.765000Z,2014-12-20T21:36:42.179000Z,https://swapi.dev/api/species/20/
Nautolan,amphibian,sentient,180,"green, blue, brown, red",none,black,70,https://swapi.dev/api/planets/44/,Nautila,['https://swapi.dev/api/people/53/'],['https://swapi.dev/api/films/4/'],2014-12-20T10:18:58.610000Z,2014-12-20T21:36:42.181000Z,https://swapi.dev/api/species/21/
Zabrak,mammal,sentient,180,"pale, brown, red, orange, yellow",black,"brown, orange",unknown,https://swapi.dev/api/planets/45/,Zabraki,"['https://swapi.dev/api/people/44/', 'https://swapi.dev/api/people/54/']",['https://swapi.dev/api/films/4/'],2014-12-20T10:26:59.894000Z,2014-12-20T21:36:42.183000Z,https://swapi.dev/api/species/22/
Tholothian,mammal,sentient,unknown,dark,unknown,"blue, indigo",unknown,https://swapi.dev/api/planets/46/,unknown,['https://swapi.dev/api/people/55/'],"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/6/']",2014-12-20T10:29:13.798000Z,2014-12-20T21:36:42.186000Z,https://swapi.dev/api/species/23/
Iktotchi,unknown,sentient,180,pink,none,orange,unknown,https://swapi.dev/api/planets/47/,Iktotchese,['https://swapi.dev/api/people/56/'],"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/6/']",2014-12-20T10:32:13.046000Z,2014-12-20T21:36:42.188000Z,https://swapi.dev/api/species/24/
Quermian,mammal,sentient,240,white,none,yellow,86,https://swapi.dev/api/planets/48/,Quermian,['https://swapi.dev/api/people/57/'],"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/6/']",2014-12-20T10:34:50.827000Z,2014-12-20T21:36:42.189000Z,https://swapi.dev/api/species/25/
Kel Dor,unknown,sentient,180,"peach, orange, red",none,"black, silver",70,https://swapi.dev/api/planets/49/,Kel Dor,['https://swapi.dev/api/people/58/'],"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/6/']",2014-12-20T10:49:21.692000Z,2014-12-20T21:36:42.191000Z,https://swapi.dev/api/species/26/
Chagrian,amphibian,sentient,190,blue,none,blue,unknown,https://swapi.dev/api/planets/50/,Chagria,['https://swapi.dev/api/people/59/'],"['https://swapi.dev/api/films/4/', 'https://swapi.dev/api/films/6/']",2014-12-20T10:53:28.795000Z,2014-12-20T21:36:42.193000Z,https://swapi.dev/api/species/27/
Geonosian,insectoid,sentient,178,"green, brown",none,"green, hazel",unknown,https://swapi.dev/api/planets/11/,Geonosian,['https://swapi.dev/api/people/63/'],"['https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",2014-12-20T16:40:45.618000Z,2014-12-20T21:36:42.195000Z,https://swapi.dev/api/species/28/
Mirialan,mammal,sentient,180,"yellow, green","black, brown","blue, green, red, yellow, brown, orange",unknown,https://swapi.dev/api/planets/51/,Mirialan,"['https://swapi.dev/api/people/64/', 'https://swapi.dev/api/people/65/']","['https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",2014-12-20T16:46:48.290000Z,2014-12-20T21:36:42.197000Z,https://swapi.dev/api/species/29/
Clawdite,reptilian,sentient,180,"green, yellow",none,yellow,70,https://swapi.dev/api/planets/54/,Clawdite,['https://swapi.dev/api/people/70/'],"['https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",2014-12-20T16:57:46.171000Z,2014-12-20T21:36:42.199000Z,https://swapi.dev/api/species/30/
Besalisk,amphibian,sentient,178,brown,none,yellow,75,https://swapi.dev/api/planets/55/,besalisk,['https://swapi.dev/api/people/71/'],['https://swapi.dev/api/films/5/'],2014-12-20T17:28:28.821000Z,2014-12-20T21:36:42.200000Z,https://swapi.dev/api/species/31/
Kaminoan,amphibian,sentient,220,"grey, blue",none,black,80,https://swapi.dev/api/planets/10/,Kaminoan,"['https://swapi.dev/api/people/72/', 'https://swapi.dev/api/people/73/']",['https://swapi.dev/api/films/5/'],2014-12-20T17:31:24.838000Z,2014-12-20T21:36:42.202000Z,https://swapi.dev/api/species/32/
Skakoan,mammal,sentient,unknown,"grey, green",none,unknown,unknown,https://swapi.dev/api/planets/56/,Skakoan,['https://swapi.dev/api/people/76/'],"['https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",2014-12-20T17:53:54.515000Z,2014-12-20T21:36:42.204000Z,https://swapi.dev/api/species/33/
Muun,mammal,sentient,190,"grey, white",none,black,100,https://swapi.dev/api/planets/57/,Muun,['https://swapi.dev/api/people/77/'],"['https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",2014-12-20T17:58:19.088000Z,2014-12-20T21:36:42.207000Z,https://swapi.dev/api/species/34/
Togruta,mammal,sentient,180,"red, white, orange, yellow, green, blue",none,"red, orange, yellow, green, blue, black",94,https://swapi.dev/api/planets/58/,Togruti,['https://swapi.dev/api/people/78/'],"['https://swapi.dev/api/films/5/', 'https://swapi.dev/api/films/6/']",2014-12-20T18:44:03.246000Z,2014-12-20T21:36:42.209000Z,https://swapi.dev/api/species/35/
Kaleesh,reptile,sentient,170,"brown, orange, tan",none,yellow,80,https://swapi.dev/api/planets/59/,Kaleesh,['https://swapi.dev/api/people/79/'],['https://swapi.dev/api/films/6/'],2014-12-20T19:45:42.537000Z,2014-12-20T21:36:42.210000Z,https://swapi.dev/api/species/36/
Pau'an,mammal,sentient,190,grey,none,black,700,https://swapi.dev/api/planets/12/,Utapese,['https://swapi.dev/api/people/83/'],['https://swapi.dev/api/films/6/'],2014-12-20T20:35:06.777000Z,2014-12-20T21:36:42.212000Z,https://swapi.dev/api/species/37/
